iter	Passed	Remaining
654	8977	4728
655	8988	4713
656	8999	4698
657	9009	4682
658	9020	4667
659	9031	4652
660	9043	4637
661	9052	4622
662	9064	4607
663	9077	4593
664	9092	4580
665	9106	4566
666	9119	4552
667	9131	4538
668	9144	4524
669	9157	4510
670	9170	4496
671	9184	4482
672	9196	4468
673	9209	4454
674	9221	4440
675	9233	4425
676	9244	4410
677	9254	4395
678	9265	4380
679	9276	4365
680	9286	4350
681	9298	4335
682	9309	4320
683	9320	4305
684	9330	4290
685	9342	4276
686	9354	4261
687	9365	4247
688	9377	4232
689	9389	4218
690	9401	4204
691	9412	4189
692	9423	4174
693	9433	4159
694	9444	4144
695	9455	4129
696	9466	4115
697	9477	4100
698	9488	4085
699	9499	4071
700	9509	4056
701	9520	4041
702	9532	4027
703	9543	4012
704	9554	3997
705	9566	3983
706	9578	3969
707	9589	3955
708	9601	3940
709	9612	3926
710	9623	3911
711	9632	3896
712	9643	3881
713	9653	3866
714	9663	3851
715	9673	3837
716	9684	3822
717	9694	3807
718	9704	3792
719	9714	3777
720	9725	3763
721	9735	3748
722	9746	3733
723	9756	3719
724	9767	3704
725	9778	3690
726	9789	3676
727	9799	3661
728	9809	3646
729	9819	3632
730	9830	3617
731	9842	3603
732	9853	3589
733	9864	3574
734	9876	3560
735	9889	3547
736	9902	3533
737	9913	3519
738	9924	3505
739	9936	3491
740	9946	3476
741	9958	3462
742	9969	3448
743	9980	3434
744	9992	3420
745	10003	3405
746	10018	3393
747	10033	3380
748	10049	3367
749	10063	3354
750	10079	3341
751	10094	3328
752	10109	3316
753	10123	3302
754	10137	3289
755	10152	3276
756	10166	3263
757	10181	3250
758	10195	3237
759	10209	3224
760	10221	3210
761	10233	3196
762	10244	3182
763	10256	3168
764	10267	3153
765	10277	3139
766	10289	3125
767	10301	3111
768	10312	3097
769	10323	3083
770	10334	3069
771	10347	3055
772	10359	3042
773	10370	3028
774	10381	3014
775	10391	2999
776	10403	2985
777	10414	2971
778	10424	2957
779	10435	2943
780	10446	2929
781	10457	2915
782	10470	2901
783	10481	2887
784	10494	2874
785	10505	2860
786	10517	2846
787	10527	2832
788	10538	2818
789	10549	2804
790	10560	2790
791	10569	2775
792	10579	2761
793	10589	2747
794	10600	2733
795	10610	2719
796	10619	2704
797	10629	2690
798	10640	2676
799	10650	2662
800	10661	2648
801	10672	2634
802	10682	2620
803	10692	2606
804	10702	2592
805	10713	2578
806	10724	2564
807	10735	2550
808	10745	2537
809	10756	2523
810	10766	2509
811	10778	2495
812	10789	2481
813	10800	2467
814	10810	2453
815	10821	2440
816	10832	2426
817	10843	2412
818	10854	2398
819	10864	2384
820	10875	2371
821	10886	2357
822	10896	2343
823	10906	2329
824	10917	2315
825	10928	2302
826	10940	2288
827	10950	2274
828	10961	2260
829	10972	2247
830	10982	2233
831	10993	2219
832	11003	2205
833	11014	2192
834	11025	2178
835	11038	2165
836	11050	2151
837	11060	2138
838	11073	2124
839	11086	2111
840	11098	2098
841	11109	2084
842	11120	2071
843	11132	2057
844	11143	2044
845	11154	2030
846	11165	2016
847	11176	2003
848	11187	1989
849	11197	1976
850	11208	1962
851	11223	1949
852	11233	1935
853	11242	1922
854	11252	1908
855	11263	1894
856	11274	1881
857	11284	1867
858	11294	1853
859	11305	1840
860	11320	1827
861	11329	1813
862	11338	1800
863	11348	1786
864	11359	1772
865	11368	1759
866	11377	1745
867	11386	1731
868	11395	1717
869	11403	1703
870	11411	1690
871	11421	1676
872	11430	1662
873	11439	1649
874	11448	1635
875	11458	1621
876	11467	1608
877	11476	1594
878	11485	1581
879	11495	1567
880	11505	1554
881	11513	1540
882	11523	1526
883	11532	1513
884	11541	1499
885	11553	1486
886	11564	1473
887	11574	1459
888	11584	1446
889	11594	1432
890	11603	1419
891	11612	1405
892	11621	1392
893	11631	1379
894	11640	1365
895	11650	1352
896	11659	1338
897	11668	1325
898	11677	1311
899	11685	1298
900	11695	1285
901	11704	1271
902	11714	1258
903	11724	1245
904	11734	1231
905	11746	1218
906	11756	1205
907	11768	1192
908	11779	1179
909	11793	1166
910	11804	1153
911	11815	1140
912	11827	1127
913	11839	1113
914	11850	1100
915	11860	1087
916	11871	1074
917	11882	1061
918	11893	1048
919	11902	1035
920	11911	1021
921	11920	1008
922	11928	995
923	11937	981
924	11945	968
925	11954	955
926	11964	942
927	11974	929
928	11984	915
929	11995	902
930	12005	889
931	12015	876
932	12025	863
933	12034	850
934	12044	837
935	12053	824
936	12063	811
937	12075	798
938	12088	785
939	12098	772
940	12106	759
941	12114	745
942	12121	732
943	12130	719
944	12137	706
945	12145	693
946	12152	680
947	12158	666
948	12166	653
949	12174	640
950	12181	627
951	12189	614
952	12197	601
953	12206	588
954	12217	575
955	12226	562
956	12235	549
957	12243	536
958	12252	523
959	12261	510
960	12270	497
961	12285	485
962	12296	472
963	12306	459
964	12317	446
965	12327	433
966	12338	421
967	12346	408
968	12354	395
969	12362	382
970	12370	369
971	12378	356
972	12386	343
973	12396	330
974	12405	318
975	12414	305
976	12423	292
977	12430	279
978	12439	266
979	12446	254
980	12455	241
981	12463	228
982	12471	215
983	12479	202
984	12489	190
985	12497	177
986	12506	164
987	12514	151
988	12521	139
989	12528	126
990	12535	113
991	12542	101
992	12549	88
993	12555	75
994	12562	63
995	12569	50
996	12577	37
997	12584	25
998	12591	12
999	12599	0
819
954	17013	801
955	17023	783
956	17033	765
957	17043	747
958	17053	729
959	17064	711
960	17074	692
961	17085	674
962	17096	656
963	17106	638
964	17116	620
965	17128	602
966	17139	584
967	17150	566
968	17161	549
