iter	RMSE
188	48469.07677
189	48318.52386
190	48193.50763
191	48112.17124
192	48051.10343
193	47981.32565
194	47908.32768
195	47857.78257
196	47836.72674
197	47761.22217
198	47629.42766
199	47580.22765
200	47493.16865
201	47420.36439
202	47403.66498
203	47362.06136
204	47256.67889
205	47164.34734
206	47149.06536
207	47109.48063
208	47094.14632
209	47021.62294
210	46939.57683
211	46813.9554
212	46771.73359
213	46742.40158
214	46671.06251
215	46579.12108
216	46511.63649
217	46474.32299
218	46413.61565
219	46365.3812
220	46322.6988
221	46245.37678
222	46113.287
223	46062.5937
224	46019.4107
225	45959.51637
226	45886.50938
227	45843.92764
228	45768.74863
229	45680.88126
230	45661.8392
231	45608.30376
232	45586.25722
233	45529.81058
234	45485.28348
235	45459.18419
236	45413.22263
237	45366.07975
238	45338.32896
239	45327.18908
240	45252.63524
241	45192.5321
242	45123.16473
243	45084.91759
244	45022.35848
245	44995.83739
246	44973.34263
247	44879.55507
248	44773.68276
249	44719.69223
250	44695.80926
251	44683.00129
252	44660.35148
253	44621.84633
254	44592.66585
255	44556.71674
256	44504.96291
257	44449.92421
258	44384.36974
259	44363.52817
260	44302.96687
261	44239.62431
262	44198.68073
263	44190.43418
264	44144.70812
265	44121.51001
266	44069.60653
267	44042.44282
268	43949.05079
269	43894.10411
270	43828.14642
271	43733.29831
272	43713.49769
273	43702.90539
274	43661.69564
275	43618.66017
276	43571.18174
277	43520.7965
278	43478.63534
279	43427.89787
280	43378.63095
281	43346.44428
282	43307.88122
283	43271.31711
284	43262.90396
285	43213.17704
286	43190.29154
287	43125.48474
288	43081.50469
289	43017.4628
290	42978.06956
291	42912.21885
292	42894.18818
293	42852.86842
294	42846.31373
295	42692.78821
296	42667.49029
297	42632.52884
298	42594.96094
299	42539.72987
300	42504.88485
301	42474.93436
302	42445.13908
303	42413.59608
304	42369.7052
305	42337.49249
306	42280.20054
307	42261.85196
308	42255.12844
309	42176.99254
310	42131.9344
311	42090.92164
312	42042.82352
313	42011.75988
314	42002.45217
315	41958.44846
316	41893.93558
317	41875.24644
318	41831.86281
319	41804.01316
320	41787.97866
321	41746.95297
322	41699.20937
323	41674.63659
324	41649.4641
325	41629.75541
326	41613.15438
327	41605.3753
328	41579.84825
329	41542.83439
330	41518.19002
331	41504.7987
332	41478.20926
333	41436.41054
334	41407.378
335	41374.64959
336	41267.3522
337	41250.1519
338	41224.81915
339	41180.74003
340	41158.45385
341	41120.39043
342	41098.73268
343	41057.82125
344	41005.25218
345	40972.38817
346	40925.98838
347	40896.07203
348	40874.89437
349	40814.74088
350	40778.32793
351	40674.18119
352	40646.58882
353	40615.07493
354	40601.97985
355	40583.13803
356	40565.47176
357	40553.07593
358	40525.46624
359	40478.92553
360	40455.09688
361	40423.72035
362	40374.82863
363	40356.77779
364	40344.41894
365	40321.2448
366	40286.38497
367	40265.28526
368	40151.44653
369	40116.40826
370	40082.05525
371	40068.16372
372	40055.41936
373	40044.85381
374	40013.37005
375	39997.16291
376	39950.78244
377	39911.04322
378	39887.26778
379	39835.21429
380	39800.22029
381	39783.11497
382	39748.37351
383	39714.15858
384	39687.45764
385	39680.237
386	39669.12386
387	39650.38101
388	39634.15496
389	39602.53933
390	39585.14162
391	39556.31309
392	39536.4989
393	39499.99858
394	39463.55647
395	39437.41854
396	39404.49607
397	39384.11102
398	39373.85786
399	39354.59654
400	39327.28446
401	39296.48968
402	39281.31647
403	39258.04016
404	39213.02441
405	39194.2245
406	39162.05457
407	39142.57263
408	39132.21145
409	39103.2256
410	39056.83796
411	39039.41771
412	39021.75075
413	38996.17028
414	38972.86847
415	38956.28293
416	38932.10788
417	38918.90509
418	38897.03764
419	38833.19799
420	38822.73634
421	38796.57321
422	38778.42751
423	38765.18858
424	38751.61325
425	38726.56679
426	38714.79333
427	38706.34002
428	38687.72836
429	38665.43218
430	38644.54173
431	38620.948
432	38599.52935
433	38566.97692
434	38542.57658
435	38512.62841
436	38487.68139
437	38477.7157
438	38461.54643
439	38438.64154
440	38425.88179
441	38415.85922
442	38380.75857
443	38365.78666
444	38339.23376
445	38320.7673
446	38300.5635
447	38290.98276
448	38277.9328
449	38257.94543
450	38246.61089
451	38208.43659
452	38187.70086
453	38182.03986
454	38167.22471
455	38145.25274
456	38121.74857
457	38104.34522
458	38087.30841
459	38062.8778
460	38044.28655
461	38028.64608
462	38004.30334
463	37977.53653
464	37951.03806
465	37923.97123
466	37896.23123
467	37883.48547
468	37852.39861
469	37841.43
470	37818.95168
471	37756.13625
472	37733.47409
473	37723.88441
474	37706.46909
475	37684.69563
476	37681.32342
477	37671.41039
478	37650.26211
479	37619.3575
480	37603.20431
481	37574.26548
482	37559.1057
483	37545.97214
484	37532.67697
485	37514.14257
486	37494.27313
487	37483.11475
488	37465.92036
489	37439.89635
490	37432.46384
491	37396.52759
492	37388.83664
493	37372.03592
494	37351.30235
495	37340.4979
496	37320.37932
497	37305.56117
498	37271.97953
499	37245.56884
500	37231.86629
501	37222.16614
502	37162.9331
503	37158.04444
504	37139.99911
505	37084.10073
506	37073.5165
507	37069.67241
508	37052.23823
509	37038.21944
510	37028.84921
511	37020.69228
512	36980.62125
513	36961.98427
514	36948.72927
515	36938.12731
516	36927.76092
517	36909.56772
518	36897.68349
519	36870.18542
520	36859.90812
521	36845.21614
522	36829.53371
523	36797.84404
524	36772.83566
525	36746.51343
526	36699.06306
527	36676.40722
528	36660.20909
529	36654.61192
530	36640.61882
531	36621.93835
532	36607.52085
533	36595.18639
534	36569.84004
535	36559.18908
536	36538.58658
537	36520.81052
538	36501.69146
539	36492.94255
540	36463.27906
541	36447.97225
542	36433.28056
543	36417.89194
544	36406.87358
545	36367.78593
546	36359.9348
547	36322.25919
548	36312.77291
549	36304.45977
550	36286.06465
551	36267.31231
552	36243.71387
553	36234.96721
554	36217.03783
555	36198.71609
556	36188.18764
557	36175.41594
558	36138.2514
559	36115.44605
560	36103.91482
561	36063.87747
562	36044.4776
563	36017.32644
564	36011.14871
565	35998.70134
566	35989.00769
567	35942.07673
568	35929.07784
569	35923.31466
570	35913.50371
571	35897.94981
572	35887.03829
573	35865.65788
574	35836.2737
575	35826.83674
576	35810.03264
577	35796.39004
578	35774.24924
579	35750.18101
580	35717.98877
581	35707.15793
582	35694.47433
583	35683.8274
584	35677.41514
585	35670.31851
586	35654.66768
587	35647.56386
588	35612.07864
589	35602.54001
590	35581.80384
591	35573.7234
592	35564.65243
593	35553.76
594	35541.72144
595	35536.38116
596	35527.72044
597	35506.74738
598	35482.58652
599	35471.11769
600	35453.62228
601	35431.79554
602	35416.93711
603	35404.29451
604	35377.94744
605	35340.03354
606	35319.06981
607	35308.21061
608	35298.31854
609	35277.71802
610	35267.52158
611	35243.36938
612	35232.78039
613	35212.62214
614	35193.24288
615	35183.69743
616	35176.15295
617	35167.6799
618	35156.39374
619	35147.16655
620	35129.64332
621	35119.15512
622	35102.76085
623	35089.70985
624	35041.86927
625	35019.58986
626	34996.21417
627	34989.95014
628	34980.67187
629	34965.47845
630	34954.60891
631	34939.66084
632	34930.35057
633	34920.97493
634	34913.96755
635	34906.32286
636	34897.8117
637	34875.12596
638	34867.06995
639	34847.49266
640	34831.48143
641	34825.80222
642	34815.91441
643	34795.60938
644	34778.83672
645	34766.82083
646	34755.54932
647	34733.5076
648	34709.78506
649	34705.09152
650	34693.65121
651	34680.73255
652	34673.67959
653	34663.49389
654	34649.65203
655	34638.74786
656	34626.9427
657	34618.25677
658	34589.94136
659	34577.2812
660	34568.99205
661	34560.64305
662	34552.04613
663	34537.86594
664	34522.84764
665	34507.2383
666	34497.88402
667	34484.06615
668	34465.64887
669	34450.71926
670	34442.87713
671	34437.42491
672	34431.56304
673	34426.32772
674	34403.88259
675	34372.51864
676	34363.46263
677	34357.13674
678	34347.28047
679	34341.46886
680	34321.81878
681	34305.45683
682	34298.31249
683	34280.88644
684	34272.31426
685	34262.51183
686	34243.10384
687	34215.28994
688	34210.11659
689	34199.33616
690	34176.18296
691	34164.91955
692	34153.79243
693	34147.96579
694	34137.86557
695	34131.89765
696	34121.45896
697	34109.01331
698	34095.42917
699	34086.9444
700	34082.49894
701	34071.26233
702	34053.03497
703	34038.43609
704	34028.46078
705	34011.963
706	33991.46243
707	33987.39165
708	33970.59072
709	33959.32688
710	33952.27104
711	33942.02504
712	33935.47545
713	33928.53447
714	33912.91571
715	33900.38694
716	33886.34625
717	33873.54513
718	33868.16961
719	33845.10389
720	33824.81371
721	33814.18331
722	33788.36726
723	33755.49945
724	33737.23279
725	33717.69564
726	33708.81436
727	33701.17155
728	33690.88627
729	33680.40257
730	33664.24408
731	33655.34081
732	33635.60591
733	33625.47025
734	33617.8574
735	33596.90443
736	33577.7065
737	33563.71494
738	33551.22624
739	33535.32818
740	33531.02806
741	33523.29448
742	33514.82764
743	33501.55575
744	33496.09436
745	33480.05549
746	33467.22897
747	33463.27486
748	33454.18533
749	33450.36278
750	33443.17042
751	33427.55078
752	33410.30636
753	33402.79926
754	33396.3088
755	33389.98134
756	33380.61571
757	33376.30034
758	33364.53754
759	33349.03552
760	33343.69937
761	33325.10062
762	33306.75186
763	33296.27211
764	33293.10573
765	33281.54441
766	33265.32242
767	33253.22404
768	33243.85813
769	33235.81279
770	33219.92524
771	33200.9876
772	33183.0417
773	33173.78559
774	33161.43579
775	33158.34982
776	33150.61983
777	33144.69927
778	33137.23293
779	33132.02376
780	33121.36939
781	33108.85913
782	33097.65077
783	33081.38773
784	33072.16068
785	33063.67284
786	33058.06643
787	33051.01549
788	33043.9516
789	33035.85209
790	33026.64135
791	33016.16488
792	33001.83365
793	32996.38457
794	32985.71936
795	32978.15932
796	32969.75657
797	32964.32677
798	32958.536
799	32950.32424
800	32922.03981
801	32915.18329
802	32911.19402
803	32906.92065
804	32898.51381
805	32889.98194
806	32879.52372
807	32867.32015
808	32856.49732
809	32843.85953
810	32834.31827
811	32825.67465
812	32810.54241
813	32802.8214
814	32791.68137
815	32782.3228
816	32766.40171
817	32752.79694
818	32747.03541
819	32733.67713
820	32727.05574
821	32721.55662
822	32712.71989
823	32708.51757
824	32693.19687
825	32686.48726
826	32671.53982
827	32662.60187
828	32655.8057
829	32649.62598
830	32642.57638
831	32635.19571
832	32633.06073
833	32620.34343
834	32607.96908
835	32597.18143
836	32590.94961
837	32582.57281
838	32564.33737
839	32553.2031
840	32542.95376
841	32533.1091
842	32524.90789
843	32511.26926
844	32505.29765
845	32496.84025
846	32482.25549
847	32476.9795
848	32468.92057
849	32455.46065
850	32449.13255
851	32443.26226
852	32431.44762
853	32427.32954
854	32423.53467
855	32419.03631
856	32413.13222
857	32402.66504
858	32396.61834
859	32378.64941
860	32363.3292
861	32358.99973
862	32341.34756
863	32335.36182
864	32317.5484
865	32310.65604
866	32301.81294
867	32293.17409
868	32281.67847
869	32277.81809
870	32274.4437
871	32266.30175
872	32257.54113
873	32252.88983
874	32239.31674
875	32216.90213
876	32214.32593
877	32208.67251
878	32196.33116
879	32185.2196
880	32180.51272
881	32170.04664
882	32164.31592
883	32157.31509
884	32151.55434
885	32145.05379
886	32139.15124
887	32123.12853
888	32116.50557
889	32107.29677
890	32104.18224
891	32100.80679
892	32091.89225
893	32085.23019
894	32082.13793
895	32075.64374
896	32068.03668
897	32063.78295
898	32061.40952
899	32058.78362
900	32049.24293
901	32044.47707
902	32036.6886
903	32025.10891
904	32017.34398
905	32011.70752
906	32003.37991
907	31995.05591
908	31985.40421
909	31982.54278
910	31978.81796
911	31971.67821
912	31964.85719
913	31949.30584
914	31935.77931
915	31926.84754
916	31921.72772
917	31914.58549
918	31902.1339
919	31889.29642
920	31884.85881
921	31872.30196
922	31863.28278
923	31849.48377
924	31841.56477
925	31828.21859
926	31817.02491
927	31813.87167
928	31803.42106
929	31796.22369
930	31782.00535
931	31774.73572
932	31764.7002
933	31751.00421
934	31744.25373
935	31737.00343
936	31720.36663
937	31713.75537
938	31706.16556
939	31692.7461
940	31685.66942
941	31677.21913
942	31675.13959
943	31668.34765
944	31658.54102
945	31643.32664
946	31640.19653
947	31629.4965
948	31625.38735
949	31614.75869
950	31603.20157
951	31591.76967
952	31587.60271
953	31579.22305
954	31568.43225
955	31561.87298
956	31554.27669
957	31547.40817
958	31540.65665
959	31529.27875
960	31518.02724
961	31515.43199
962	31505.94402
963	31499.05516
964	31492.44527
965	31487.02376
966	31482.06163
967	31477.41021
968	31463.08048
969	31444.90826
970	31440.28746
971	31423.13382
972	31415.1403
973	31408.44767
974	31401.71399
975	31399.37942
976	31391.83109
977	31389.54564
978	31380.20993
979	31378.03011
980	31369.16931
981	31357.03825
982	31352.03015
983	31347.22227
984	31340.10859
985	31331.17088
986	31324.67697
987	31320.99566
988	31317.82494
989	31310.51417
990	31302.64886
991	31294.92371
992	31290.73023
993	31287.78094
994	31280.77165
995	31275.29528
996	31264.87973
997	31262.99187
998	31256.55728
999	31248.9577
